"Nom du problème","Type de problème","Priorité du problème","URL","% du total","Description","Comment corriger","URL d'aide"
"H2: Plus de 70 caractères","Opportunité","Faible","2","1,490","Pages dont les <h2> dépassent la limite configurée. Il n'y a pas de limite de caractères stricte pour les <h2>, mais ils doivent être clairs et concis pour les utilisateurs, et les sous-titres longs peuvent être moins utiles.","Rédigez des <h2> concis pour les utilisateurs, en incluant des mots-clés ciblés lorsque cela est naturel pour les utilisateurs, sans bourrage de mots-clés.",""
"H2: Doublon","Opportunité","Faible","116","86,570","Pages qui présentent des doublons de <h2>. Il est important de disposer de pages distinctes, uniques et utiles. Si chaque page a le même <h2>, il peut être plus difficile pour les utilisateurs et les moteurs de recherche de distinguer une page d'une autre.","Mettez à jour les doublons de <h2> comme nécessaire, afin que les pages importantes contiennent un <h2> unique et descriptif pour les utilisateurs et les moteurs de recherche. S'il s'agit de doublons de page, corrigez-les en créant un lien vers une version unique et effectuez une redirection ou utilisez des versions canoniques le cas échéant.",""
"Sécurité: En-tête Secure Referrer-Policy manquant","Avertissement","Faible","158","48,020","URL qui n'ont pas les politiques « no-referrer-when-downgrade », « strict-origin-when-cross-origin », « no-referrer » ou « strict-origin » dans l'en-tête Referrer-Policy. Lorsque vous utilisez le protocole HTTPS, il est important que les URL ne fuient pas dans les requêtes non HTTPS. Cela peut exposer les utilisateurs à des attaques de type « man in the middle », car n'importe qui sur le réseau peut les voir.","Envisagez de définir une politique de référent de type « strict-origin-when-cross-origin ». Cela permet de conserver une grande partie de l'utilité du référent, tout en atténuant le risque de fuite de données entre les origines.",""
"Images: Attributs de taille manquants","Opportunité","Faible","1","33,330","Éléments d'image dont les dimensions (attributs width et height) ne sont pas spécifiées dans le code HTML. Cela peut entraîner d'importants changements de mise en page lors du chargement du contenu, ce qui peut s'avérer frustrant pour les utilisateurs. C'est l'une des principales causes d'un score CLS (Cumulative Layout Shift) élevé.","Définissez la taille de toutes les images au format natif à l'aide des attributs width et height dans le code HTML. Le navigateur pourra ainsi calculer l'espace nécessaire pour chaque image avant son chargement, évitant ainsi des modifications importantes de la mise en page.",""
"H1: Manquant","Problème","Moyenne","2","1,490","Pages dont le <h1> est manquant, le contenu est vide ou qui comportent un espace blanc. Les <h1> doivent décrire le titre principal et l'objectif de la page, et sont considérés comme l'un des signaux de classement les plus forts sur la page.","Veillez à ce que les pages importantes comportent des sous-titres concis, descriptifs et uniques afin d'aider les utilisateurs et de permettre aux moteurs de recherche de noter et de classer la page pour les requêtes de recherche correspondantes.",""
"Title des pages: Plus de 561 pixels","Opportunité","Moyenne","9","6,720","Pages dont le titre dépasse la limite de longueur en pixels estimée par Google pour les titres dans les résultats de recherche. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"H2: Multiple","Avertissement","Faible","132","98,510","Pages comportant plusieurs <h2>. Ce n'est pas un problème, car les normes HTML autorisent plusieurs <h2> lorsqu'ils sont utilisés dans une structure de sous-titres hiérarchique logique. Cependant, ce filtre peut vous aider à effectuer un examen rapide pour vérifier s'ils sont utilisés de manière appropriée.","Veillez à ce que les <h2> soient utilisés dans une structure de sous-titres hiérarchique logique et mettez-les à jour, le cas échéant, en utilisant toute la gamme de sous-titres entre h3 et h6 pour les sous-titres supplémentaires.",""
"Sécurité: Liens avec attribut crossorigin non sécurisés","Avertissement","Faible","3","0,910","URL pointant vers un site Web externe qui contiennent l'attribut target=""_blank"" (pour ouvrir la page dans un nouvel onglet), mais pas l'attribut rel=""noopener"" (ou rel=""noreferrer""). Lorsque seul l'attribut target=""_blank"" est utilisé, les pages concernées sont exposées à des problèmes de sécurité et de performance sur certains anciens navigateurs, qui représentent moins de 5 % du marché. Le fait de définir target=""_blank"" sur des éléments <a> permet d'obtenir implicitement le même comportement qu'avec rel=""noopener"", qui ne définit pas window.opener sur la plupart des navigateurs modernes tels que Chrome, Safari, Firefox et Edge. Les liens externes qui contiennent l'attribut target=""_blank"" uniquement peuvent être consultés dans l'onglet ""Liens sortants"" et la colonne ""Cible"". Pour exporter ces liens ainsi que leurs pages sources, accédez à Exportation en bloc > Sécurité > Liens avec attribut crossorigin non sécurisés.","Nous vous conseillons d'ajouter l'attribut rel=""noopener"" à tous les liens qui contiennent l'attribut target=""_blank"" pour éviter que les utilisateurs d'anciens navigateurs ne soient exposés à des problèmes de sécurité et de performance.",""
"H1: Non séquentiel","Avertissement","Faible","102","76,120","Pages dont l'élément <h1> n'est pas le premier en-tête de la page. Les éléments d'en-tête doivent être placés dans un ordre logique séquentiel par ordre décroissant. L'objectif des éléments d'en-tête est d'indiquer la structure de la page. Ils doivent être placés dans un ordre logique, de <h1> à <h6>, afin de faciliter la navigation et d'aider les utilisateurs qui dépendent de technologies d'assistance.","Assurez-vous que l'élément <h1> correspond au premier en-tête de la page. Les en-têtes doivent être placés dans un ordre séquentiel logique, de <h1> à <h6>. Examinez les niveaux des en-têtes de la page et vérifiez qu'ils sont placés par ordre décroissant. Par exemple, l'en-tête de premier niveau doit être un <h1>, et cet en-tête doit être suivi par un <h2>.",""
"Meta description: Plus de 985 pixels","Opportunité","Faible","2","1,490","Pages dont la méta-description dépasse la limite de longueur en pixels estimée par Google pour les extraits. La longueur d'extrait de Google est en fait basée sur des limites en pixels, plutôt que sur une longueur en caractères. Le SEO Spider tente de faire correspondre les derniers points de troncature en pixels dans les SERP, mais il s'agit d'une approximation et Google les ajuste fréquemment.","Rédigez des méta-descriptions concises afin que des mots importants ne soient pas tronqués dans les résultats de recherche et ne soient pas visibles pour les utilisateurs.",""
"Sécurité: En-tête Content-Security-Policy manquant","Avertissement","Faible","158","48,020","URL qui n'ont pas l'en-tête de réponse Content-Security-Policy. Cet en-tête permet à un site Web de contrôler quelles ressources sont chargées pour une page. Cette politique peut aider à se protéger contre les attaques de type script intersites (XSS) qui exploitent la confiance du navigateur dans le contenu reçu du serveur. Le SEO Spider ne vérifie que l'existence de l'en-tête et n'interroge pas les politiques qu'il contient pour déterminer si elles sont bien configurées pour le site Web. Cette opération doit être effectuée manuellement.","Définissez un en-tête de réponse Content-Security-Policy strict pour toutes les pages afin d'atténuer les attaques par script intersites (XSS) et par injection de données.",""
"Title des pages: Plus de 60 caractères","Opportunité","Moyenne","14","10,450","Pages dont le titre dépasse la limite configurée. Les caractères au-delà de cette limite risquent d'être tronqués dans les résultats de recherche de Google et d'avoir moins de poids dans les résultats.","Rédigez des titres de page concis pour éviter que des mots importants ne soient tronqués dans les résultats de recherche, qu'ils ne soient pas visibles pour les utilisateurs et qu'ils aient éventuellement moins de poids dans les résultats.",""
"Images: Environ 100 Ko","Opportunité","Moyenne","2","66,670","Images volumineuses dépassant un seuil de taille. La vitesse des pages est extrêmement importante pour les utilisateurs et pour le référencement. Souvent, les ressources volumineuses telles que les images sont l'un des problèmes les plus courants qui ralentissent les pages Web. Ce filtre sert simplement de règle générale pour aider à identifier les images dont la taille de fichier est relativement importante et qui peuvent prendre plus de temps à charger. Ces images doivent être optimisées, tout comme les opportunités identifiées dans l'onglet PageSpeed qui utilise l'API PSI et Lighthouse pour évaluer la vitesse. Cela peut aider à identifier les images dont la taille n'a pas été optimisée, qui se chargent hors de l'écran, qui ne sont pas optimisées, etc.","Les images non compressées alourdissent les pages d'octets inutiles. Veillez donc à ce que les images soient optimisées par la compression, qu'elles soient correctement mises à l'échelle et qu'elles utilisent le meilleur format d'image possible pour réduire la taille du fichier.",""
"URL: Majuscule","Avertissement","Faible","7","2,130","URL qui contiennent des caractères majuscules. Les URL sont sensibles à la casse. Par conséquent, les URL doivent généralement être en minuscules, afin d'éviter tout risque de confusion et de doublon d'URL.","Idéalement, uniquement des caractères minuscules devraient être utilisés pour les URL. Cependant, modifier une URL est une décision importante et, souvent, cela ne vaut pas la peine de le faire uniquement pour des raisons de référencement. Si des URL sont modifiées, des redirections 301 appropriées doivent être mises en œuvre.",""
